# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.417361092954e+04       1.417361092954e-10       1.417361092954e+18       2.676317464532e-09       2.751560535470e+44       2.490444620465e+33       1.335302458771e+34       3.463692243488e-08       1.902194177205e+44       4.653754712833e+44       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       5.408626139062e-06       2.000000000000e+00 
       9.991943997396e+13       7.571713149920e-26       4.638422979042e-09       2.153781920381e+22       1.417361092954e+04       1.418503840017e-10       1.416219266489e+18       2.678475245463e-09       2.742704612622e+44       2.484430559493e+33       1.332077897848e+34       3.463692243488e-08       1.896071947780e+44       4.638776560560e+44       4.638776560560e+44       1.546258853467e+44      -1.333195767989e+53       5.417344032356e-06       1.996781488456e+00 
       9.983894484710e+13       7.583927459902e-26       4.643879947253e-09       2.150313143616e+22       1.417361092954e+04       1.419647508420e-10       1.415078359879e+18       2.680634765705e-09       2.733877192643e+44       2.478431021602e+33       1.328861123770e+34       3.463692243488e-08       1.889969422807e+44       4.623846615608e+44       4.623846615608e+44       1.541282205150e+44      -1.327834299063e+53       5.426061925649e-06       1.993573318532e+00 
       9.975851456713e+13       7.596161474099e-26       4.647517926060e-09       2.146849953495e+22       1.417361092954e+04       1.420792098905e-10       1.413938372384e+18       2.682796027092e-09       2.725078183797e+44       2.472445971721e+33       1.325652117733e+34       3.463692243488e-08       1.883886538866e+44       4.608964722820e+44       4.608964722820e+44       1.536321574221e+44      -1.322494391373e+53       5.434779818943e-06       1.990375440994e+00 
       9.967814908182e+13       7.608415223194e-26       4.651155904867e-09       2.143392341020e+22       1.417361092954e+04       1.421937612215e-10       1.412799303263e+18       2.684959030978e-09       2.716307494641e+44       2.466475374864e+33       1.322450860978e+34       3.463692243488e-08       1.877823232743e+44       4.594130727541e+44       4.594130727541e+44       1.531376909128e+44      -1.317175958211e+53       5.443497712235e-06       1.987187806426e+00 
       9.959784833896e+13       7.620688737232e-26       4.654793883674e-09       2.139940297208e+22       1.417361092954e+04       1.423084049096e-10       1.411661151776e+18       2.687123778688e-09       2.707565034029e+44       2.460519196128e+33       1.319257334792e+34       3.463692243488e-08       1.871779441427e+44       4.579344475612e+44       4.579344475612e+44       1.526448158485e+44      -1.311878913217e+53       5.452215605528e-06       1.984010365752e+00 
       9.951761228640e+13       7.632982049883e-26       4.658431862481e-09       2.136493813090e+22       1.417361092954e+04       1.424231410291e-10       1.410523917185e+18       2.689290271708e-09       2.698850711107e+44       2.454577400696e+33       1.316071520507e+34       3.463692243488e-08       1.865755102108e+44       4.564605813371e+44       4.564605813371e+44       1.521535271072e+44      -1.306603170376e+53       5.460933498820e-06       1.980843070093e+00 
       9.943744087203e+13       7.645295192433e-26       4.662069841288e-09       2.133052879713e+22       1.417361092954e+04       1.425379696546e-10       1.409387598750e+18       2.691458511416e-09       2.690164435313e+44       2.448649953835e+33       1.312893399498e+34       3.463692243488e-08       1.859750152181e+44       4.549914587650e+44       4.549914587650e+44       1.516638195831e+44      -1.301348644024e+53       5.469651392111e-06       1.977685870960e+00 
       9.935733404377e+13       7.657628197276e-26       4.665707820095e-09       2.129617488136e+22       1.417361092954e+04       1.426528908606e-10       1.408252195733e+18       2.693628499238e-09       2.681506116377e+44       2.442736820895e+33       1.309722953190e+34       3.463692243488e-08       1.853764529240e+44       4.535270645773e+44       4.535270645773e+44       1.511756881872e+44      -1.296115248836e+53       5.478369285403e-06       1.974538720139e+00 
       9.927729174959e+13       7.669981096847e-26       4.669345798902e-09       2.126187629434e+22       1.417361092954e+04       1.427679047218e-10       1.407117707398e+18       2.695800236600e-09       2.672875664320e+44       2.436837967309e+33       1.306560163047e+34       3.463692243488e-08       1.847798171082e+44       4.520673835558e+44       4.520673835558e+44       1.506891278468e+44      -1.290902899834e+53       5.487087178694e-06       1.971401569725e+00 
       9.919731393751e+13       7.682353923476e-26       4.672983777709e-09       2.122763294696e+22       1.417361092954e+04       1.428830113129e-10       1.405984133006e+18       2.697973724926e-09       2.664272989453e+44       2.430953358595e+33       1.303405010581e+34       3.463692243488e-08       1.841851015702e+44       4.506124005310e+44       4.506124005310e+44       1.502041335052e+44      -1.285711512380e+53       5.495805071986e-06       1.968274372116e+00 
       9.911740055557e+13       7.694746709356e-26       4.676621756516e-09       2.119344475026e+22       1.417361092954e+04       1.429982107087e-10       1.404851471822e+18       2.700148965626e-09       2.655698002373e+44       2.425082960355e+33       1.300257477349e+34       3.463692243488e-08       1.835923001297e+44       4.491621003825e+44       4.491621003825e+44       1.497207001223e+44      -1.280541002176e+53       5.504522965278e-06       1.965157080025e+00 
       9.903755155187e+13       7.707159486782e-26       4.680259735323e-09       2.115931161542e+22       1.417361092954e+04       1.431135029840e-10       1.403719723111e+18       2.702325960121e-09       2.647150613969e+44       2.419226738270e+33       1.297117544952e+34       3.463692243488e-08       1.830014066260e+44       4.477164680383e+44       4.477164680383e+44       1.492388226743e+44      -1.275391285266e+53       5.513240858569e-06       1.962049646457e+00 
       9.895776687455e+13       7.719592287926e-26       4.683897714131e-09       2.112523345374e+22       1.417361092954e+04       1.432288882136e-10       1.402588886137e+18       2.704504709818e-09       2.638630735412e+44       2.413384658109e+33       1.293985195034e+34       3.463692243488e-08       1.824124149185e+44       4.462754884750e+44       4.462754884750e+44       1.487584961532e+44      -1.270262278028e+53       5.521958751861e-06       1.958952024723e+00 
       9.887804647179e+13       7.732045145336e-26       4.687535692938e-09       2.109121017670e+22       1.417361092954e+04       1.433443664726e-10       1.401458960165e+18       2.706685216146e-09       2.630138278163e+44       2.407556685721e+33       1.290860409284e+34       3.463692243488e-08       1.818253188862e+44       4.448391467178e+44       4.448391467178e+44       1.482797155675e+44      -1.265153897177e+53       5.530676645153e-06       1.955864168414e+00 
       9.879839029180e+13       7.744518091582e-26       4.691173671745e-09       2.105724169590e+22       1.417361092954e+04       1.434599378359e-10       1.400329944461e+18       2.708867480529e-09       2.621673153965e+44       2.401742787037e+33       1.287743169437e+34       3.463692243488e-08       1.812401124279e+44       4.434074278397e+44       4.434074278397e+44       1.478024759415e+44      -1.260066059765e+53       5.539394538444e-06       1.952786031419e+00 
       9.871879828286e+13       7.757011158680e-26       4.694811650552e-09       2.102332792309e+22       1.417361092954e+04       1.435756023785e-10       1.399201838293e+18       2.711051504368e-09       2.613235274847e+44       2.395942928071e+33       1.284633457270e+34       3.463692243488e-08       1.806567894619e+44       4.419803169619e+44       4.419803169619e+44       1.473267723155e+44      -1.254998683175e+53       5.548112431736e-06       1.949717567933e+00 
       9.863927039325e+13       7.769524378892e-26       4.700268618762e-09       2.098946877016e+22       1.417361092954e+04       1.436913601757e-10       1.398074640928e+18       2.713237289072e-09       2.604824553121e+44       2.390157074920e+33       1.281531254605e+34       3.463692243488e-08       1.800753439263e+44       4.405577992536e+44       4.405577992536e+44       1.468525997461e+44      -1.249951685125e+53       5.556830325028e-06       1.946658732433e+00 
       9.855980657134e+13       7.782057784468e-26       4.703906597570e-09       2.095566414914e+22       1.417361092954e+04       1.438072113026e-10       1.396948351633e+18       2.715424836050e-09       2.596440901380e+44       2.384385193761e+33       1.278436543307e+34       3.463692243488e-08       1.794957697784e+44       4.391398599316e+44       4.391398599316e+44       1.463799533055e+44      -1.244924983661e+53       5.565548218319e-06       1.943609479685e+00 
       9.848040676550e+13       7.794611408175e-26       4.707544576377e-09       2.092191397221e+22       1.417361092954e+04       1.439231558344e-10       1.395822969678e+18       2.717614146732e-09       2.588084232499e+44       2.378627250855e+33       1.275349305287e+34       3.463692243488e-08       1.789180609953e+44       4.377264842603e+44       4.377264842603e+44       1.459088280817e+44      -1.239918497161e+53       5.574266111611e-06       1.940569764719e+00 
       9.840107092417e+13       7.807185283439e-26       4.711182555184e-09       2.088821815167e+22       1.417361092954e+04       1.440391938465e-10       1.394698494330e+18       2.719805222575e-09       2.579754459633e+44       2.372883212542e+33       1.272269522496e+34       3.463692243488e-08       1.783422115732e+44       4.363176575516e+44       4.363176575516e+44       1.454392191788e+44      -1.234932144329e+53       5.582984004902e-06       1.937539542831e+00 
       9.832179899581e+13       7.819779442138e-26       4.714820533991e-09       2.085457659999e+22       1.417361092954e+04       1.441553254141e-10       1.393574924859e+18       2.721998064968e-09       2.571451496218e+44       2.367153045245e+33       1.269197176933e+34       3.463692243488e-08       1.777682155277e+44       4.349133651646e+44       4.349133651646e+44       1.449711217165e+44      -1.229965844198e+53       5.591701898194e-06       1.934518769644e+00 
       9.824259092893e+13       7.832393916847e-26       4.718458512798e-09       2.082098922976e+22       1.417361092954e+04       1.442715506129e-10       1.392452260537e+18       2.724192675329e-09       2.563175255967e+44       2.361436715467e+33       1.266132250636e+34       3.463692243488e-08       1.771960668938e+44       4.335135925055e+44       4.335135925055e+44       1.445045308302e+44      -1.225019516125e+53       5.600419791485e-06       1.931507401038e+00 
       9.816344667210e+13       7.845028740167e-26       4.722096491605e-09       2.078745595372e+22       1.417361092954e+04       1.443878695182e-10       1.391330500633e+18       2.726389055075e-09       2.554925652871e+44       2.355734189792e+33       1.263074725690e+34       3.463692243488e-08       1.766257597256e+44       4.321183250276e+44       4.321183250276e+44       1.440394416709e+44      -1.220093079793e+53       5.609137684776e-06       1.928505393168e+00 
       9.808436617390e+13       7.857683944987e-26       4.725734470412e-09       2.075397668475e+22       1.417361092954e+04       1.445042822055e-10       1.390209644420e+18       2.728587205636e-09       2.546702601198e+44       2.350045434887e+33       1.260024584221e+34       3.463692243488e-08       1.760572880961e+44       4.307275482309e+44       4.307275482309e+44       1.435758494053e+44      -1.215186455206e+53       5.617855578067e-06       1.925512702453e+00 
