# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.373570198262e-10       4.169892602055e-15       3.528045818141e-13       0.000000000000e+00 
    3       1.300282410529e-10       5.348072632577e-15       3.959334088595e-13       0.000000000000e+00 
    4       1.230888087806e-10       4.630746986019e-15       3.700357719749e-13       0.000000000000e+00 
    5       1.178846135850e-10       3.092601206317e-15       3.150474290853e-13       0.000000000000e+00 
    6       1.143070028828e-10       1.730445145641e-15       2.537146583338e-13       0.000000000000e+00 
    7       1.120243846532e-10       9.345175606494e-16       1.992010400909e-13       0.000000000000e+00 
    8       1.106851368116e-10       6.018838409862e-16       1.572723045466e-13       0.000000000000e+00 
    9       1.100561336056e-10       4.826554408893e-16       1.291778765519e-13       0.000000000000e+00 
   10       1.099484473354e-10       4.112123686817e-16       1.135782645298e-13       0.000000000000e+00 
   11       1.102465540774e-10       3.451495123688e-16       1.078546607316e-13       0.000000000000e+00 
   12       1.108924979978e-10       2.999082053728e-16       1.089934300630e-13       0.000000000000e+00 
   13       1.117689094519e-10       2.868258992395e-16       1.142460276084e-13       0.000000000000e+00 
   14       1.127975081748e-10       2.981649328963e-16       1.216062871836e-13       0.000000000000e+00 
   15       1.140038117243e-10       3.220711493107e-16       1.298091736344e-13       0.000000000000e+00 
   16       1.153945011113e-10       3.558994805924e-16       1.381376265450e-13       0.000000000000e+00 
   17       1.168430467360e-10       4.050158845144e-16       1.464666299458e-13       0.000000000000e+00 
   18       1.183930623785e-10       4.748663923909e-16       1.549724492367e-13       0.000000000000e+00 
   19       1.200599217606e-10       5.659253948903e-16       1.638511308662e-13       0.000000000000e+00 
   20       1.217762932422e-10       6.763526854564e-16       1.732630172858e-13       0.000000000000e+00 
   21       1.235559949909e-10       8.054168474373e-16       1.831925357952e-13       0.000000000000e+00 
   22       1.254060795569e-10       9.524676104881e-16       1.934861609467e-13       0.000000000000e+00 
   23       1.273166791338e-10       1.117758714650e-15       2.038088498407e-13       0.000000000000e+00 
   24       1.292541454347e-10       1.301648066104e-15       2.137206789022e-13       0.000000000000e+00 
   25       1.312294673486e-10       1.504265614240e-15       2.229101102982e-13       0.000000000000e+00 
   26       1.332533166590e-10       1.725825594315e-15       2.311163564984e-13       0.000000000000e+00 
   27       1.353334311676e-10       1.967919634892e-15       2.382655038182e-13       0.000000000000e+00 
   28       1.374584590784e-10       2.232804242136e-15       2.443644427949e-13       0.000000000000e+00 
   29       1.396030942702e-10       2.522777513134e-15       2.494534752943e-13       0.000000000000e+00 
   30       1.417745330051e-10       2.839003744124e-15       2.535938195323e-13       0.000000000000e+00 
   31       1.439808739143e-10       3.182216636265e-15       2.568801951328e-13       0.000000000000e+00 
   32       1.462210498892e-10       3.553092630380e-15       2.593957927205e-13       0.000000000000e+00 
   33       1.484970162294e-10       3.952559446280e-15       2.610333495832e-13       0.000000000000e+00 
   34       1.508036931188e-10       4.381590234053e-15       2.616059519920e-13       0.000000000000e+00 
   35       1.531302526638e-10       4.841109094903e-15       2.609221858456e-13       0.000000000000e+00 
   36       1.554799805281e-10       5.331955194189e-15       2.588948168595e-13       0.000000000000e+00 
   37       1.578557278250e-10       5.854898700559e-15       2.554682636022e-13       0.000000000000e+00 
   38       1.602537100722e-10       6.410644153187e-15       2.505900274843e-13       0.000000000000e+00 
   39       1.626672080531e-10       6.999845195917e-15       2.442209546478e-13       0.000000000000e+00 
   40       1.651009803715e-10       7.623166521048e-15       2.363698193163e-13       0.000000000000e+00 
   41       1.675605320166e-10       8.281234995998e-15       2.270708163993e-13       0.000000000000e+00 
   42       1.700477073863e-10       8.974618663761e-15       2.163754141063e-13       0.000000000000e+00 
   43       1.725620356140e-10       9.703858948455e-15       2.043291908376e-13       0.000000000000e+00 
   44       1.751062195062e-10       1.046958719284e-14       1.908914799677e-13       0.000000000000e+00 
   45       1.776816809240e-10       1.127243882168e-14       1.759922603928e-13       0.000000000000e+00 
   46       1.802866802256e-10       1.211301989314e-14       1.595535186495e-13       0.000000000000e+00 
   47       1.829160255697e-10       1.299190600747e-14       1.414886670022e-13       0.000000000000e+00 
   48       1.855635501483e-10       1.390959190415e-14       1.217165507628e-13       0.000000000000e+00 
   49       1.882310479243e-10       1.486632599857e-14       1.002094971514e-13       0.000000000000e+00 
   50       1.909213573190e-10       1.586222732826e-14       7.695781103086e-14       0.000000000000e+00 
   51       1.936356674069e-10       1.689732727387e-14       5.195652666214e-14       0.000000000000e+00 
   52       1.963733684395e-10       1.797156595194e-14       2.520557014100e-14       0.000000000000e+00 
   53       1.991332433015e-10       1.908485909508e-14      -3.295150578769e-15       0.000000000000e+00 
   54       2.019177456419e-10       2.023732718616e-14      -3.356233178185e-14       0.000000000000e+00 
   55       2.047295613189e-10       2.142911895754e-14      -6.561666978801e-14       0.000000000000e+00 
   56       2.075702726066e-10       2.266034542394e-14      -9.947821097239e-14       0.000000000000e+00 
   57       2.104402649431e-10       2.393107923079e-14      -1.351664020092e-13       0.000000000000e+00 
   58       2.133386336780e-10       2.524135400240e-14      -1.727001401150e-13       0.000000000000e+00 
   59       2.162639987444e-10       2.659108332493e-14      -2.120918026931e-13       0.000000000000e+00 
   60       2.192173813940e-10       2.797979720466e-14      -2.533276030731e-13       0.000000000000e+00 
   61       2.221998319030e-10       2.940684314685e-14      -2.963827534799e-13       0.000000000000e+00 
   62       2.252115191878e-10       3.087145783279e-14      -3.412269338169e-13       0.000000000000e+00 
   63       2.282516683305e-10       3.237276374381e-14      -3.878241378214e-13       0.000000000000e+00 
   64       2.313184981033e-10       3.390976578531e-14      -4.361325192202e-13       0.000000000000e+00 
   65       2.344101914147e-10       3.548145753818e-14      -4.861133987332e-13       0.000000000000e+00 
   66       2.375281858547e-10       3.708717375026e-14      -5.377608477529e-13       0.000000000000e+00 
   67       2.406744704090e-10       3.872630668214e-14      -5.910781134770e-13       0.000000000000e+00 
   68       2.438505810758e-10       4.039820276327e-14      -6.460691113951e-13       0.000000000000e+00 
   69       2.470575672831e-10       4.210216228242e-14      -7.027385276918e-13       0.000000000000e+00 
   70       2.502959583065e-10       4.383743907823e-14      -7.610919216493e-13       0.000000000000e+00 
   71       2.535657296874e-10       4.560324022967e-14      -8.211358280508e-13       0.000000000000e+00 
   72       2.568666808365e-10       4.739868662134e-14      -8.828700968902e-13       0.000000000000e+00 
   73       2.601997263853e-10       4.922268656357e-14      -9.462629826546e-13       0.000000000000e+00 
   74       2.635657931751e-10       5.107403724145e-14      -1.011271436226e-12       0.000000000000e+00 
   75       2.669654072508e-10       5.295146050837e-14      -1.077848370350e-12       0.000000000000e+00 
   76       2.703986696668e-10       5.485360168327e-14      -1.145942584802e-12       0.000000000000e+00 
   77       2.738652322918e-10       5.677902834788e-14      -1.215498691569e-12       0.000000000000e+00 
   78       2.773642736154e-10       5.872622914394e-14      -1.286457040012e-12       0.000000000000e+00 
   79       2.808944745527e-10       6.069361257049e-14      -1.358753642048e-12       0.000000000000e+00 
   80       2.844545581007e-10       6.267956048988e-14      -1.432325846926e-12       0.000000000000e+00 
   81       2.880450694651e-10       6.468260199337e-14      -1.507130665165e-12       0.000000000000e+00 
   82       2.916668623609e-10       6.670126767582e-14      -1.583129505160e-12       0.000000000000e+00 
   83       2.953205490800e-10       6.873403742200e-14      -1.660282737383e-12       0.000000000000e+00 
   84       2.990064867382e-10       7.077934021694e-14      -1.738549726022e-12       0.000000000000e+00 
   85       3.027247635225e-10       7.283555395633e-14      -1.817888860634e-12       0.000000000000e+00 
   86       3.064751849386e-10       7.490100525687e-14      -1.898257587788e-12       0.000000000000e+00 
   87       3.102572600576e-10       7.697396926661e-14      -1.979612442712e-12       0.000000000000e+00 
   88       3.140701877640e-10       7.905266947538e-14      -2.061909080942e-12       0.000000000000e+00 
   89       3.179131800524e-10       8.113530100921e-14      -2.145100585829e-12       0.000000000000e+00 
   90       3.217865200190e-10       8.322010511501e-14      -2.229132017811e-12       0.000000000000e+00 
   91       3.256906452689e-10       8.530530606509e-14      -2.313945064427e-12       0.000000000000e+00 
   92       3.296258170581e-10       8.738908887314e-14      -2.399479694077e-12       0.000000000000e+00 
   93       3.335921115903e-10       8.946959945638e-14      -2.485674161837e-12       0.000000000000e+00 
   94       3.375894113139e-10       9.154494479775e-14      -2.572465015277e-12       0.000000000000e+00 
   95       3.416173962181e-10       9.361319310815e-14      -2.659787100277e-12       0.000000000000e+00 
   96       3.456755351300e-10       9.567237398856e-14      -2.747573566845e-12       0.000000000000e+00 
   97       3.497630770114e-10       9.772047859227e-14      -2.835755874935e-12       0.000000000000e+00 
   98       3.538790422551e-10       9.975545978706e-14      -2.924263800261e-12       0.000000000000e+00 
   99       3.580224689638e-10       1.017752796552e-13      -3.013026728693e-12       0.000000000000e+00 
  100       3.621932104024e-10       1.037780593196e-13      -3.101977736059e-12       0.000000000000e+00 
  101       3.663912348554e-10       1.057619507392e-13      -3.191050099705e-12       0.000000000000e+00 
  102       3.706163751797e-10       1.077250919912e-13      -3.280176082639e-12       0.000000000000e+00 
  103       3.748683231923e-10       1.096656080070e-13      -3.369286954964e-12       0.000000000000e+00 
  104       3.791466240573e-10       1.115816113082e-13      -3.458313015320e-12       0.000000000000e+00 
  105       3.834506706738e-10       1.134712027425e-13      -3.547183612312e-12       0.000000000000e+00 
  106       3.877796980627e-10       1.153324722198e-13      -3.635827165954e-12       0.000000000000e+00 
  107       3.921327777547e-10       1.171634994481e-13      -3.724171189100e-12       0.000000000000e+00 
  108       3.965088121770e-10       1.189623546693e-13      -3.812142308883e-12       0.000000000000e+00 
  109       4.009065290413e-10       1.207270993958e-13      -3.899666288148e-12       0.000000000000e+00 
  110       4.053247032434e-10       1.224558348348e-13      -3.986668755295e-12       0.000000000000e+00 
  111       4.097628668826e-10       1.241468526299e-13      -4.073077453963e-12       0.000000000000e+00 
  112       4.142206800285e-10       1.257985048781e-13      -4.158820322711e-12       0.000000000000e+00 
  113       4.186977079931e-10       1.274091593569e-13      -4.243824840424e-12       0.000000000000e+00 
  114       4.231934179543e-10       1.289772007280e-13      -4.328018054714e-12       0.000000000000e+00 
  115       4.277071755794e-10       1.305010317430e-13      -4.411326610316e-12       0.000000000000e+00 
  116       4.322382416480e-10       1.319790744472e-13      -4.493676777486e-12       0.000000000000e+00 
  117       4.367857686758e-10       1.334097713848e-13      -4.574994480400e-12       0.000000000000e+00 
  118       4.413487975379e-10       1.347915868032e-13      -4.655205325555e-12       0.000000000000e+00 
  119       4.459262540920e-10       1.361230078580e-13      -4.734234630161e-12       0.000000000000e+00 
  120       4.505169458019e-10       1.374025458176e-13      -4.812007450547e-12       0.000000000000e+00 
