# Matter power spectrum P(k) at redshift z=0
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047411684609e-05       4.765107020641e+01 
       2.340697813828e-05       1.036190536763e+02 
       3.638563864047e-05       1.586761329536e+02 
       4.944530109215e-05       2.133892676740e+02 
       6.262175472052e-05       2.680856680126e+02 
       7.595169693025e-05       3.230134047685e+02 
       8.947306535302e-05       3.783865049684e+02 
       1.032253847063e-04       4.344034841720e+02 
       1.172501329443e-04       4.912569025412e+02 
       1.315911312188e-04       5.491391952846e+02 
       1.462949621704e-04       6.082467705354e+02 
       1.614114210084e-04       6.687832311946e+02 
       1.769940036457e-04       7.309621512034e+02 
       1.931004357635e-04       7.950096410794e+02 
       2.097932459881e-04       8.611668160422e+02 
       2.271403852212e-04       9.296922546766e+02 
       2.452158924160e-04       1.000864469371e+03 
       2.641006044790e-04       1.074984404035e+03 
       2.838829042425e-04       1.152377939050e+03 
       3.046594952246e-04       1.233398356341e+03 
       3.265361847916e-04       1.318428684198e+03 
       3.496286479396e-04       1.407883806340e+03 
       3.740631318178e-04       1.502212158284e+03 
       3.999770461020e-04       1.601896800203e+03 
       4.275193664164e-04       1.707455554075e+03 
       4.568507578338e-04       1.819439884381e+03 
       4.881433045401e-04       1.938432035310e+03 
       5.215797128217e-04       2.065040009934e+03 
       5.573518420615e-04       2.199889842212e+03 
       5.956584186830e-04       2.343614727277e+03 
       6.367018087637e-04       2.496840647785e+03 
       6.806837745540e-04       2.660168411196e+03 
       7.278002247239e-04       2.834152293393e+03 
       7.782350888536e-04       3.019276071678e+03 
       8.321535952657e-04       3.215927692950e+03 
       8.896953873442e-04       3.424374398495e+03 
       9.509680446784e-04       3.644740618548e+03 
       1.016041643195e-03       3.876991014065e+03 
       1.084944959445e-03       4.120920842818e+03 
       1.157663783857e-03       4.376155328490e+03 
       1.234141570835e-03       4.642158406731e+03 
       1.314282364506e-03       4.918250458286e+03 
       1.397955659952e-03       5.203606515014e+03 
       1.485002650688e-03       5.497348201625e+03 
       1.575243211716e-03       5.798540745698e+03 
       1.668482979903e-03       6.106207132813e+03 
       1.764519996905e-03       6.419367950899e+03 
       1.863150535605e-03       6.737063851770e+03 
       1.964173898484e-03       7.058373210317e+03 
       2.067396124614e-03       7.382425739243e+03 
       2.172632653849e-03       7.708410530383e+03 
       2.279710068068e-03       8.035581330607e+03 
       2.388467064399e-03       8.363258669967e+03 
       2.498754823052e-03       8.690827981323e+03 
       2.610436922104e-03       9.017738407453e+03 
       2.723388931559e-03       9.343498378653e+03 
       2.837497795229e-03       9.667672239237e+03 
       2.952661085471e-03       9.989875990987e+03 
       3.068786194638e-03       1.030977019200e+04 
       3.185789509337e-03       1.062705962565e+04 
       3.303595599287e-03       1.094148596203e+04 
       3.422136441610e-03       1.125282608624e+04 
       3.541350693115e-03       1.156088294727e+04 
       3.661183017220e-03       1.186549130389e+04 
       3.781583467992e-03       1.216650750954e+04 
       3.902506930941e-03       1.246381104868e+04 
       4.023912618417e-03       1.275729815192e+04 
       4.145763616341e-03       1.304688209636e+04 
       4.268026478438e-03       1.333249435793e+04 
       4.390670863877e-03       1.361407547945e+04 
       4.513669214248e-03       1.389158305211e+04 
       4.636996465921e-03       1.416497452835e+04 
       4.760629794102e-03       1.443421315344e+04 
       4.884548385138e-03       1.469928665725e+04 
       5.008733233957e-03       1.496022076839e+04 
       5.133166963815e-03       1.521697045977e+04 
       5.257833665812e-03       1.546949687917e+04 
       5.382718755917e-03       1.571795755478e+04 
       5.507808847479e-03       1.596225892102e+04 
       5.633091637463e-03       1.620239315060e+04 
       5.758555804809e-03       1.643766635461e+04 
       5.884190919538e-03       1.666957350343e+04 
       6.009987361379e-03       1.689736971529e+04 
       6.135936246824e-03       1.712105058951e+04 
       6.262029363665e-03       1.734081582847e+04 
       6.388259112180e-03       1.755666145331e+04 
       6.514618452218e-03       1.776878159905e+04 
       6.641100855536e-03       1.797640240624e+04 
       6.767700262811e-03       1.818020575508e+04 
       6.894411044829e-03       1.838017988283e+04 
       7.021227967389e-03       1.857632311929e+04 
       7.148146159534e-03       1.876865073814e+04 
       7.275161084765e-03       1.895699261039e+04 
       7.402268514908e-03       1.914185497226e+04 
       7.529464506388e-03       1.932283811023e+04 
       7.656745378635e-03       1.950077806789e+04 
       7.784107694432e-03       1.967453512721e+04 
       7.911548241991e-03       1.984468100711e+04 
       8.039064018603e-03       2.001127748912e+04 
       8.166652215698e-03       2.017436297890e+04 
       8.294310205178e-03       2.033394058160e+04 
       8.422035526911e-03       2.049008724793e+04 
       8.549825877263e-03       2.064280797875e+04 
       8.677679098588e-03       2.079214820423e+04 
       8.805593169567e-03       2.093814734491e+04 
       8.933566196333e-03       2.108081493203e+04 
       9.061596404315e-03       2.122020705838e+04 
       9.189682130712e-03       2.135639120715e+04 
       9.317821817576e-03       2.148936520256e+04 
       9.446014005420e-03       2.161918307186e+04 
       9.574257327326e-03       2.174586197000e+04 
       9.702550503498e-03       2.186944497577e+04 
       9.830892336229e-03       2.198996670513e+04 
       9.959281705252e-03       2.210746752647e+04 
       1.008771756342e-02       2.222197105195e+04 
       1.021619893274e-02       2.233350504260e+04 
       1.034472490063e-02       2.244147525143e+04 
       1.047329461654e-02       2.254784078989e+04 
       1.060190728875e-02       2.265071616119e+04 
       1.073056218140e-02       2.275080624506e+04 
       1.085925861179e-02       2.284797433930e+04 
       1.098799594780e-02       2.294243891289e+04 
       1.111677360552e-02       2.303417403959e+04 
       1.124559104710e-02       2.312322521048e+04 
       1.137444777862e-02       2.320961077003e+04 
       1.150334334829e-02       2.329333642280e+04 
       1.163227734460e-02       2.337444551504e+04 
       1.176124939471e-02       2.345298622542e+04 
       1.189025916291e-02       2.352898073730e+04 
       1.201930634923e-02       2.360246796155e+04 
       1.214839068806e-02       2.367341656957e+04 
       1.227751194696e-02       2.374191947202e+04 
       1.240666992550e-02       2.380803393756e+04 
       1.253586445421e-02       2.387177162756e+04 
       1.266509539358e-02       2.393304534555e+04 
       1.279436263316e-02       2.399201509331e+04 
       1.292366609070e-02       2.404878073153e+04 
