# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04741e-05 to 1.19979 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047411684609e-05       2.818290972789e+01 
       2.340697813828e-05       6.128484736676e+01 
       3.638563864047e-05       9.384810768748e+01 
       4.944530109215e-05       1.262080719935e+02 
       6.262175472052e-05       1.585583087925e+02 
       7.595169693025e-05       1.910455878957e+02 
       8.947306535302e-05       2.237965428279e+02 
       1.032253847063e-04       2.569286465179e+02 
       1.172501329443e-04       2.905558511370e+02 
       1.315911312188e-04       3.247920440328e+02 
       1.462949621704e-04       3.597534723947e+02 
       1.614114210084e-04       3.955606502990e+02 
       1.769940036457e-04       4.323400021830e+02 
       1.931004357635e-04       4.702253841605e+02 
       2.097932459881e-04       5.093595443394e+02 
       2.271403852212e-04       5.498955812720e+02 
       2.452158924160e-04       5.919984079000e+02 
       2.641006044790e-04       6.358462313858e+02 
       2.838829042425e-04       6.816320388671e+02 
       3.046594952246e-04       7.295650576901e+02 
       3.265361847916e-04       7.798721449034e+02 
       3.496286479396e-04       8.327990359576e+02 
       3.740631318178e-04       8.886113478398e+02 
       3.999770461020e-04       9.475952098987e+02 
       4.275193664164e-04       1.010057338661e+03 
       4.568507578338e-04       1.076324361776e+03 
       4.881433045401e-04       1.146741106731e+03 
       5.215797128217e-04       1.221667603200e+03 
       5.573518420615e-04       1.301474476301e+03 
       5.956584186830e-04       1.386536474516e+03 
       6.367018087637e-04       1.477223923153e+03 
       6.806837745540e-04       1.573892057131e+03 
       7.278002247239e-04       1.676868366232e+03 
       7.782350888536e-04       1.786438422943e+03 
       8.321535952657e-04       1.902830949193e+03 
       8.896953873442e-04       2.026203203639e+03 
       9.509680446784e-04       2.156628045245e+03 
       1.016041643195e-03       2.294084049733e+03 
       1.084944959445e-03       2.438449918497e+03 
       1.157663783857e-03       2.589504110570e+03 
       1.234141570835e-03       2.746929919903e+03 
       1.314282364506e-03       2.910325694313e+03 
       1.397955659952e-03       3.079203616477e+03 
       1.485002650688e-03       3.253043904450e+03 
       1.575243211716e-03       3.431293094380e+03 
       1.668482979903e-03       3.613372619185e+03 
       1.764519996905e-03       3.798702628927e+03 
       1.863150535605e-03       3.986715424596e+03 
       1.964173898484e-03       4.176865871803e+03 
       2.067396124614e-03       4.368639272023e+03 
       2.172632653849e-03       4.561555931384e+03 
       2.279710068068e-03       4.755174211611e+03 
       2.388467064399e-03       4.949091876792e+03 
       2.498754823052e-03       5.142945130138e+03 
       2.610436922104e-03       5.336407999894e+03 
       2.723388931559e-03       5.529189703084e+03 
       2.837497795229e-03       5.721032549854e+03 
       2.952661085471e-03       5.911709341885e+03 
       3.068786194638e-03       6.101019174474e+03 
       3.185789509337e-03       6.288787336588e+03 
       3.303595599287e-03       6.474860839219e+03 
       3.422136441610e-03       6.659107781611e+03 
       3.541350693115e-03       6.841411608413e+03 
       3.661183017220e-03       7.021674603016e+03 
       3.781583467992e-03       7.199811621368e+03 
       3.902506930941e-03       7.375751472178e+03 
       4.023912618417e-03       7.549432717456e+03 
       4.145763616341e-03       7.720804034282e+03 
       4.268026478438e-03       7.889824900136e+03 
       4.390670863877e-03       8.056460138223e+03 
       4.513669214248e-03       8.220684670277e+03 
       4.636996465921e-03       8.382473335019e+03 
       4.760629794102e-03       8.541812988251e+03 
       4.884548385138e-03       8.698695975527e+03 
       5.008733233957e-03       8.853110161779e+03 
       5.133166963815e-03       9.005057419049e+03 
       5.257833665812e-03       9.154533493002e+03 
       5.382718755917e-03       9.301538297737e+03 
       5.507808847479e-03       9.446183567944e+03 
       5.633091637463e-03       9.588328790309e+03 
       5.758555804809e-03       9.727939310168e+03 
       5.884190919538e-03       9.865034554583e+03 
       6.009987361379e-03       9.999707329942e+03 
       6.135936246824e-03       1.013198627845e+04 
       6.262029363665e-03       1.026188088088e+04 
       6.388259112180e-03       1.038968405577e+04 
       6.514618452218e-03       1.051532743653e+04 
       6.641100855536e-03       1.063825905312e+04 
       6.767700262811e-03       1.075888494043e+04 
       6.894411044829e-03       1.087722017642e+04 
       7.021227967389e-03       1.099327756080e+04 
       7.148146159534e-03       1.110707337260e+04 
       7.275161084765e-03       1.121861964668e+04 
       7.402268514908e-03       1.132795640341e+04 
       7.529464506388e-03       1.143510601430e+04 
       7.656745378635e-03       1.154015723488e+04 
       7.784107694432e-03       1.164298804949e+04 
       7.911548241991e-03       1.174368604542e+04 
       8.039064018603e-03       1.184226505240e+04 
       8.166652215698e-03       1.193876322463e+04 
       8.294310205178e-03       1.203319874211e+04 
       8.422035526911e-03       1.212559309963e+04 
       8.549825877263e-03       1.221596197726e+04 
