# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.000000000000e+14       7.559326182143e-26       4.634785000235e-09       2.157311178469e+22       1.414785842085e+04       1.414785842085e-10       1.414785842085e+18       2.676249374461e-09       2.751560535470e+44       2.490444620465e+33       1.335302458771e+34       3.463692243488e-08       1.902194177205e+44       4.653754712833e+44       4.653754712833e+44       1.551251570892e+44      -1.338612941801e+53       5.473785549701e-06       2.000000000000e+00 
       9.991943997396e+13       7.571520512658e-26       4.638422979042e-09       2.153836716238e+22       1.414785842085e+04       1.415926512853e-10       1.413646090243e+18       2.678407100496e-09       2.742704612622e+44       2.484430559493e+33       1.332077897848e+34       3.463692243488e-08       1.896071947780e+44       4.638776560560e+44       4.638776560560e+44       1.546258853467e+44      -1.333229686745e+53       5.482608470185e-06       1.996781489766e+00 
       9.983894484710e+13       7.583734511899e-26       4.642060957849e-09       2.150367849810e+22       1.414785842085e+04       1.417068103286e-10       1.412507256584e+18       2.680566565798e-09       2.733877192643e+44       2.478431021602e+33       1.328861123770e+34       3.463692243488e-08       1.889969422807e+44       4.623846615608e+44       4.623846615608e+44       1.541282205150e+44      -1.327868080543e+53       5.491431390674e-06       1.993573321145e+00 
       9.975851456713e+13       7.595968214862e-26       4.647517926060e-09       2.146904570172e+22       1.414785842085e+04       1.418210614126e-10       1.411369340370e+18       2.682727772203e-09       2.725078183797e+44       2.472445971721e+33       1.325652117733e+34       3.463692243488e-08       1.883886538866e+44       4.608964722820e+44       4.608964722820e+44       1.536321574221e+44      -1.322528036133e+53       5.500254311169e-06       1.990375444904e+00 
       9.967814908182e+13       7.608221652229e-26       4.651155904867e-09       2.143446868327e+22       1.414785842085e+04       1.419354046115e-10       1.410232340862e+18       2.684890721063e-09       2.716307494641e+44       2.466475374864e+33       1.322450860978e+34       3.463692243488e-08       1.877823232743e+44       4.594130727541e+44       4.594130727541e+44       1.531376909128e+44      -1.317209466803e+53       5.509077231669e-06       1.987187811627e+00 
       9.959784833896e+13       7.620494854044e-26       4.654793883674e-09       2.139994735291e+22       1.414785842085e+04       1.420498399996e-10       1.409096257321e+18       2.687055413705e-09       2.707565034029e+44       2.460519196128e+33       1.319257334792e+34       3.463692243488e-08       1.871779441427e+44       4.579344475612e+44       4.579344475612e+44       1.526448158485e+44      -1.311912286192e+53       5.517900152174e-06       1.984010372238e+00 
       9.951761228640e+13       7.632787853977e-26       4.658431862481e-09       2.136548162096e+22       1.414785842085e+04       1.421643676512e-10       1.407961089009e+18       2.689221851613e-09       2.698850711107e+44       2.454577400696e+33       1.316071520507e+34       3.463692243488e-08       1.865755102108e+44       4.564605813371e+44       4.564605813371e+44       1.521535271072e+44      -1.306636408284e+53       5.526723072685e-06       1.980843077857e+00 
       9.943744087203e+13       7.645100683312e-26       4.662069841288e-09       2.133107139786e+22       1.414785842085e+04       1.422789876407e-10       1.406826835190e+18       2.691390036166e-09       2.690164435313e+44       2.448649953835e+33       1.312893399498e+34       3.463692243488e-08       1.859750152181e+44       4.549914587650e+44       4.549914587650e+44       1.516638195831e+44      -1.301381747410e+53       5.535545993201e-06       1.977685879997e+00 
       9.935733404377e+13       7.657433374443e-26       4.665707820095e-09       2.129671659423e+22       1.414785842085e+04       1.423937000425e-10       1.405693495125e+18       2.693559968791e-09       2.681506116377e+44       2.442736820895e+33       1.309722953190e+34       3.463692243488e-08       1.853764529240e+44       4.535270645773e+44       4.535270645773e+44       1.511756881872e+44      -1.296148218245e+53       5.544368913723e-06       1.974538730443e+00 
       9.927729174959e+13       7.669785959805e-26       4.669345798902e-09       2.126241712080e+22       1.414785842085e+04       1.425085049312e-10       1.404561068079e+18       2.695731650913e-09       2.672875664320e+44       2.436837967309e+33       1.306560163047e+34       3.463692243488e-08       1.847798171082e+44       4.520673835558e+44       4.520673835558e+44       1.506891278468e+44      -1.290935735809e+53       5.553191834251e-06       1.971401581289e+00 
       9.919731393751e+13       7.682158471725e-26       4.672983777709e-09       2.122817288846e+22       1.414785842085e+04       1.426234023813e-10       1.403429553317e+18       2.697905083955e-09       2.664272989453e+44       2.430953358595e+33       1.303405010581e+34       3.463692243488e-08       1.841851015702e+44       4.506124005310e+44       4.506124005310e+44       1.502041335052e+44      -1.285744215460e+53       5.562014754784e-06       1.968274384934e+00 
       9.911740055557e+13       7.694550942396e-26       4.676621756516e-09       2.119398380824e+22       1.414785842085e+04       1.427383924674e-10       1.402298950103e+18       2.700080269329e-09       2.655698002373e+44       2.425082960355e+33       1.300257477349e+34       3.463692243488e-08       1.835923001297e+44       4.491621003825e+44       4.491621003825e+44       1.497207001223e+44      -1.280573572901e+53       5.570837675324e-06       1.965157094092e+00 
