# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049318226059e-05       2.819517394168e+01 
       2.342616276858e-05       6.125237285796e+01 
       3.640499480341e-05       9.377234270029e+01 
       4.946488236998e-05       1.260896393890e+02 
       6.264161644611e-05       1.583974742420e+02 
       7.597189669400e-05       1.908423850591e+02 
       8.949366353842e-05       2.235508227514e+02 
       1.032464450613e-04       2.566401054736e+02 
       1.172717231960e-04       2.902240386510e+02 
       1.316133237390e-04       3.244163641548e+02 
       1.463178346997e-04       3.593331944100e+02 
       1.614350574474e-04       3.950948909686e+02 
       1.770184949191e-04       4.318277367311e+02 
       1.931258807667e-04       4.696654374656e+02 
       2.098197526189e-04       5.087505719026e+02 
       2.271680715031e-04       5.492360704274e+02 
       2.452448877108e-04       5.912866602931e+02 
       2.641310507860e-04       6.350803631800e+02 
       2.839149575716e-04       6.808099398218e+02 
       3.046933270209e-04       7.286844041794e+02 
       3.265719833780e-04       7.789303653761e+02 
       3.496666199213e-04       8.317932996995e+02 
       3.741035033749e-04       8.875385305823e+02 
       4.000200640633e-04       9.464518781020e+02 
       4.275652989772e-04       1.008839742311e+03 
       4.568998947415e-04       1.075028382891e+03 
       4.881959565347e-04       1.145362254475e+03 
       5.216362100857e-04       1.220200968466e+03 
       5.574125314164e-04       1.299914738080e+03 
       5.957236592794e-04       1.384877826464e+03 
       6.367719660597e-04       1.475460115341e+03 
       6.807592124856e-04       1.572016342453e+03 
       7.278812961373e-04       1.674873491953e+03 
       7.783221245023e-04       1.784316648221e+03 
       8.322468919443e-04       1.900574053851e+03 
       8.897951959967e-04       2.023802554592e+03 
       9.510745595174e-04       2.154074630017e+03 
       1.016154992934e-03       2.291368603456e+03 
       1.085065201626e-03       2.435563032026e+03 
       1.157790902955e-03       2.586436403994e+03 
       1.234275480364e-03       2.743672206764e+03 
       1.314422912849e-03       2.906869179945e+03 
       1.398102639210e-03       3.075540027400e+03 
       1.485155807527e-03       3.249165733736e+03 
       1.575402259116e-03       3.427193571235e+03 
       1.668647608777e-03       3.609045826106e+03 
       1.764689886781e-03       3.794143506343e+03 
       1.863325363835e-03       3.981919758933e+03 
       1.964353347710e-03       4.171830234267e+03 
       2.067579888463e-03       4.363360972787e+03 
       2.172820440967e-03       4.556032963661e+03 
       2.279901604719e-03       4.749405168376e+03 
       2.388662095883e-03       4.943075822609e+03 
       2.498953114204e-03       5.136681668921e+03 
       2.610638257117e-03       5.329897072143e+03 
       2.723593113320e-03       5.522431625461e+03 
       2.837704644350e-03       5.714028037483e+03 
       2.952870439126e-03       5.904459412367e+03 
       3.068997905318e-03       6.093525223849e+03 
       3.186003443571e-03       6.281050908620e+03 
       3.303811636396e-03       6.466883880746e+03 
       3.422354472515e-03       6.650892311920e+03 
       3.541570619210e-03       6.832960008223e+03 
       3.661404749343e-03       7.012989171854e+03 
       3.781806925469e-03       7.190895265746e+03 
       3.902732040725e-03       7.366606657952e+03 
       4.024139314303e-03       7.540062581085e+03 
       4.145991838268e-03       7.711211139223e+03 
       4.268256171856e-03       7.880012458400e+03 
       4.390901979181e-03       8.046431035972e+03 
       4.513901706277e-03       8.210441851398e+03 
       4.637230293506e-03       8.372020016759e+03 
       4.760864919666e-03       8.531152052304e+03 
       4.884784774337e-03       8.687830766660e+03 
       5.008970855362e-03       8.842044174188e+03 
       5.133405788628e-03       8.993793381838e+03 
       5.258073667611e-03       9.143073995496e+03 
       5.382959910428e-03       9.289888917982e+03 
       5.508051132378e-03       9.434295907839e+03 
       5.633335032191e-03       9.576307069282e+03 
       5.758800290410e-03       9.715742720595e+03 
       5.884436478516e-03       9.852655235864e+03 
       6.010233977566e-03       9.987159814199e+03 
       6.136183905261e-03       1.011929082047e+04 
       6.262278050501e-03       1.024900602794e+04 
       6.388508814575e-03       1.037658768494e+04 
       6.514869158257e-03       1.050209765039e+04 
       6.641352554151e-03       1.062486813314e+04 
       6.767952943715e-03       1.074533531120e+04 
       6.894664698449e-03       1.086351134355e+04 
       7.021482584811e-03       1.097941634657e+04 
       7.148401732451e-03       1.109306849017e+04 
       7.275417605429e-03       1.120446942139e+04 
       7.402525976089e-03       1.131366546053e+04 
       7.529722901334e-03       1.142067055817e+04 
       7.657004701036e-03       1.152551739350e+04 
       7.784367938388e-03       1.162827791428e+04 
       7.911809401985e-03       1.172884437941e+04 
       8.039326089471e-03       1.182729853830e+04 
       8.166915192604e-03       1.192366790133e+04 
       8.294574083594e-03       1.201798046457e+04 
       8.422300302594e-03       1.211025254066e+04 
       8.550091546238e-03       1.220050201943e+04 
       8.677945657129e-03       1.228876034316e+04 
       8.805860614181e-03       1.237504274389e+04 
       8.933834523747e-03       1.245937131848e+04 
       9.061865611460e-03       1.254176524263e+04 
       9.189952214712e-03       1.262224998628e+04 
       9.318092775735e-03       1.270083866979e+04 
       9.446285835213e-03       1.277755446015e+04 
       9.574530026389e-03       1.285242700652e+04 
       9.702824069616e-03       1.292538397329e+04 
       9.831166767333e-03       1.299670234654e+04 
       9.959556999406e-03       1.306613660756e+04 
       1.008799371882e-02       1.313381767325e+04 
       1.021647594769e-02       1.319972874937e+04 
       1.034500277356e-02       1.326391794655e+04 
       1.047357334599e-02       1.332641182072e+04 
       1.060218687336e-02       1.338719013759e+04 
       1.073084261992e-02       1.344632269321e+04 
       1.085953990304e-02       1.350378771218e+04 
       1.098827809070e-02       1.355960895833e+04 
       1.111705659909e-02       1.361382813351e+04 
       1.124587489042e-02       1.366645236574e+04 
       1.137473247087e-02       1.371750946713e+04 
       1.150362888870e-02       1.376698688351e+04 
       1.163256373250e-02       1.381493712391e+04 
       1.176153662948e-02       1.386134462805e+04 
       1.189054724402e-02       1.390625284075e+04 
       1.201959527618e-02       1.394966950092e+04 
       1.214868046044e-02       1.399162084741e+04 
       1.227780256440e-02       1.403213314270e+04 
       1.240696138771e-02       1.407120193320e+04 
       1.253615676094e-02       1.410882168864e+04 
       1.266538854464e-02       1.414507596577e+04 
       1.279465662842e-02       1.417990937802e+04 
       1.292396093007e-02       1.421341354559e+04 
       1.305330139481e-02       1.424554579194e+04 
       1.318267799454e-02       1.427633572972e+04 
       1.331209072720e-02       1.430580252587e+04 
       1.344153961609e-02       1.433397944489e+04 
       1.357102470937e-02       1.436084834794e+04 
       1.370054607949e-02       1.438644326537e+04 
       1.383010382273e-02       1.441079354493e+04 
       1.395969805873e-02       1.443390750508e+04 
       1.408932893015e-02       1.445576861190e+04 
       1.421899660225e-02       1.447644496972e+04 
       1.434870126259e-02       1.449589700674e+04 
       1.447844312073e-02       1.451418595592e+04 
       1.460822240797e-02       1.453129848394e+04 
       1.473803937712e-02       1.454727505724e+04 
       1.486789430231e-02       1.456210004710e+04 
       1.499778747881e-02       1.457580411951e+04 
       1.512771922284e-02       1.458837730902e+04 
       1.525768987154e-02       1.459986867208e+04 
       1.538769978280e-02       1.461021534328e+04 
       1.551774933521e-02       1.461964085156e+04 
       1.564783892802e-02       1.462792280118e+04 
       1.577796898109e-02       1.463505600438e+04 
       1.590813993493e-02       1.464140450809e+04 
       1.603835225067e-02       1.464663364481e+04 
       1.616860641012e-02       1.465085484555e+04 
       1.629890291581e-02       1.465409051503e+04 
       1.642924229109e-02       1.465634257677e+04 
       1.655962508020e-02       1.465764566687e+04 
       1.669005184840e-02       1.465798586225e+04 
       1.682052318210e-02       1.465742955585e+04 
       1.695103968899e-02       1.465568308685e+04 
       1.708160199823e-02       1.465351074373e+04 
       1.721221076062e-02       1.465002135505e+04 
       1.734286664882e-02       1.464599200458e+04 
       1.747357035753e-02       1.464094094212e+04 
       1.760432260378e-02       1.463503176132e+04 
       1.773512412711e-02       1.462811914979e+04 
       1.786597568992e-02       1.462066190271e+04 
       1.799687807769e-02       1.461227323422e+04 
       1.812783209933e-02       1.460288364507e+04 
       1.825883858744e-02       1.459301903422e+04 
       1.838989839871e-02       1.458201222574e+04 
       1.852101241423e-02       1.457042693598e+04 
       1.865218153987e-02       1.455831638324e+04 
       1.878340670668e-02       1.454500854815e+04 
       1.891468887126e-02       1.453120556630e+04 
       1.904602901620e-02       1.451682246318e+04 
       1.917742815053e-02       1.450154751576e+04 
       1.930888731016e-02       1.448557905546e+04 
       1.944040755834e-02       1.446889279540e+04 
       1.957198998617e-02       1.445157739663e+04 
       1.970363571311e-02       1.443353797561e+04 
       1.983534588751e-02       1.441459161750e+04 
       1.996712168713e-02       1.439513772696e+04 
       2.009896431973e-02       1.437556186591e+04 
       2.023087502366e-02       1.435467668115e+04 
       2.036285506845e-02       1.433346546995e+04 
       2.049490575547e-02       1.431191526336e+04 
       2.062702841851e-02       1.428946992606e+04 
       2.075922442452e-02       1.426645189642e+04 
