# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       7.491748754979e-06       4.163594684872e-15       3.871554787525e-13       0.000000000000e+00 
    3       1.957921546994e-07       5.356913393996e-15       4.330615561900e-13       0.000000000000e+00 
    4       3.791845596746e-09       4.658437886558e-15       3.909289513373e-13       0.000000000000e+00 
    5       1.595556946507e-10       3.122413269944e-15       3.224878381735e-13       0.000000000000e+00 
    6       1.105416415039e-10       1.749582041684e-15       2.530563841157e-13       0.000000000000e+00 
    7       1.084229524978e-10       9.429535810762e-16       1.954045876350e-13       0.000000000000e+00 
    8       1.075213941861e-10       6.067156951612e-16       1.536519178448e-13       0.000000000000e+00 
    9       1.072718166683e-10       4.897477855549e-16       1.273202565119e-13       0.000000000000e+00 
   10       1.074470478777e-10       4.216873732094e-16       1.137377308335e-13       0.000000000000e+00 
   11       1.080174556469e-10       3.569500671780e-16       1.094386872160e-13       0.000000000000e+00 
   12       1.088343907630e-10       3.107588055914e-16       1.110668197108e-13       0.000000000000e+00 
   13       1.098586930101e-10       2.957309692357e-16       1.160524736267e-13       0.000000000000e+00 
   14       1.110622495689e-10       3.051722628721e-16       1.226927225902e-13       0.000000000000e+00 
   15       1.124267051014e-10       3.275413802000e-16       1.300428290188e-13       0.000000000000e+00 
   16       1.138789092499e-10       3.601152791376e-16       1.377404641137e-13       0.000000000000e+00 
   17       1.154577088156e-10       4.084986910808e-16       1.457215692391e-13       0.000000000000e+00 
   18       1.164412745085e-10       4.785666542500e-16       1.542080021195e-13       0.000000000000e+00 
   19       1.188053606855e-10       5.707222809828e-16       1.633369235705e-13       0.000000000000e+00 
   20       1.208037770499e-10       6.827825276114e-16       1.731242602515e-13       0.000000000000e+00 
   21       1.224444987659e-10       8.136859890043e-16       1.833900687104e-13       0.000000000000e+00 
   22       1.242744129372e-10       9.624310177649e-16       1.938150041041e-13       0.000000000000e+00 
   23       1.262961110668e-10       1.129122192267e-15       2.040679339247e-13       0.000000000000e+00 
   24       1.283224497589e-10       1.314058670242e-15       2.137820417373e-13       0.000000000000e+00 
   25       1.303485855285e-10       1.517444994245e-15       2.227123168760e-13       0.000000000000e+00 
   26       1.324128008988e-10       1.739648676017e-15       2.306684131363e-13       0.000000000000e+00 
   27       1.345307438215e-10       1.982455253176e-15       2.376177114336e-13       0.000000000000e+00 
   28       1.366940198708e-10       2.248373076388e-15       2.436045253532e-13       0.000000000000e+00 
   29       1.388804143790e-10       2.539939127251e-15       2.486971395062e-13       0.000000000000e+00 
   30       1.410960727647e-10       2.858259725660e-15       2.529169793004e-13       0.000000000000e+00 
   31       1.433464960580e-10       3.203880400761e-15       2.562843619489e-13       0.000000000000e+00 
   32       1.456277830849e-10       3.577265136275e-15       2.588096999574e-13       0.000000000000e+00 
   33       1.479396954476e-10       3.979241185360e-15       2.603954922661e-13       0.000000000000e+00 
   34       1.502750331694e-10       4.410703777121e-15       2.608963315812e-13       0.000000000000e+00 
   35       1.526219081985e-10       4.872520658397e-15       2.601622308882e-13       0.000000000000e+00 
   36       1.549878056056e-10       5.365618230023e-15       2.581070272435e-13       0.000000000000e+00 
   37       1.573824146723e-10       5.890919951981e-15       2.546624404808e-13       0.000000000000e+00 
   38       1.598104615160e-10       6.449320584926e-15       2.497598695712e-13       0.000000000000e+00 
   39       1.622722202296e-10       7.041654983863e-15       2.433448405211e-13       0.000000000000e+00 
   40       1.647667694188e-10       7.668597285182e-15       2.354264400532e-13       0.000000000000e+00 
   41       1.672888043549e-10       8.330723484156e-15       2.260446257435e-13       0.000000000000e+00 
   42       1.698270700803e-10       9.028532914911e-15       2.152581926580e-13       0.000000000000e+00 
   43       1.723693560763e-10       9.762494958752e-15       2.031189001831e-13       0.000000000000e+00 
   44       1.749206203644e-10       1.053321733841e-14       1.895817367603e-13       0.000000000000e+00 
   45       1.774896064761e-10       1.134132263861e-14       1.745684365759e-13       0.000000000000e+00 
   46       1.800836165871e-10       1.218740035727e-14       1.579913243423e-13       0.000000000000e+00 
   47       1.827083222813e-10       1.307200560804e-14       1.397526568420e-13       0.000000000000e+00 
