# Matter power spectrum P(k) at redshift z=0
# for k=1.04932e-05 to 1.02586 h/Mpc,
# number of wavenumbers equal to 524
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049318226059e-05       4.790064401729e+01 
       2.342616276858e-05       1.040545896062e+02 
       3.640499480341e-05       1.593069692848e+02 
       4.946488236998e-05       2.142130944828e+02 
       6.264161644611e-05       2.690834313504e+02 
       7.597189669400e-05       3.242251902514e+02 
       8.949366353842e-05       3.797935710652e+02 
       1.032464450613e-04       4.360078071148e+02 
       1.172717231960e-04       4.930388257592e+02 
       1.316133237390e-04       5.511230713034e+02 
       1.463178346997e-04       6.104582279254e+02 
       1.614350574474e-04       6.712117942228e+02 
       1.770184949191e-04       7.335957029519e+02 
       1.931258807667e-04       7.978969062069e+02 
       2.098197526189e-04       8.642894760430e+02 
       2.271680715031e-04       9.330437135143e+02 
       2.452448877108e-04       1.004486414470e+03 
       2.641310507860e-04       1.078878458288e+03 
       2.839149575716e-04       1.156523859886e+03 
       3.046933270209e-04       1.237850331873e+03 
       3.265719833780e-04       1.323184781975e+03 
       3.496666199213e-04       1.412979783630e+03 
       3.741035033749e-04       1.507626172517e+03 
       4.000200640633e-04       1.607699411319e+03 
       4.275652989772e-04       1.713650827935e+03 
       4.568998947415e-04       1.826051019769e+03 
       4.881959565347e-04       1.945463735045e+03 
       5.216362100857e-04       2.072547886394e+03 
       5.574125314164e-04       2.207896579509e+03 
       5.957236592794e-04       2.352149280232e+03 
       6.367719660597e-04       2.505930347040e+03 
       6.807592124856e-04       2.669863776211e+03 
       7.278812961373e-04       2.844488355801e+03 
       7.783221245023e-04       3.030294307936e+03 
       8.322468919443e-04       3.227665360258e+03 
       8.897951959967e-04       3.436878670847e+03 
       9.510745595174e-04       3.658053179063e+03 
       1.016154992934e-03       3.891156947765e+03 
       1.085065201626e-03       4.135971032326e+03 
       1.157790902955e-03       4.392135260811e+03 
       1.234275480364e-03       4.659102559019e+03 
       1.314422912849e-03       4.936192409275e+03 
       1.398102639210e-03       5.222575131719e+03 
       1.485155807527e-03       5.517372116224e+03 
       1.575402259116e-03       5.819648427106e+03 
       1.668647608777e-03       6.128416661552e+03 
       1.764689886781e-03       6.442698590774e+03 
       1.863325363835e-03       6.761535111127e+03 
       1.964353347710e-03       7.083991208780e+03 
       2.067579888463e-03       7.409197585380e+03 
       2.172820440967e-03       7.736343450264e+03 
       2.279901604719e-03       8.064680039804e+03 
       2.388662095883e-03       8.393523868332e+03 
       2.498953114204e-03       8.722257915470e+03 
       2.610638257117e-03       9.050329927099e+03 
       2.723593113320e-03       9.377246619974e+03 
       2.837704644350e-03       9.702572212743e+03 
       2.952870439126e-03       1.002591751093e+04 
       3.068997905318e-03       1.034694614883e+04 
       3.186003443571e-03       1.066535919301e+04 
       3.303811636396e-03       1.098089951576e+04 
       3.422354472515e-03       1.129334050508e+04 
       3.541570619210e-03       1.160248706636e+04 
       3.661404749343e-03       1.190817226099e+04 
       3.781806925469e-03       1.221025504293e+04 
       3.902732040725e-03       1.250860733086e+04 
       4.024139314303e-03       1.280313280328e+04 
       4.145991838268e-03       1.309373972755e+04 
       4.268256171856e-03       1.338036124414e+04 
       4.390901979181e-03       1.366293735888e+04 
       4.513901706277e-03       1.394142500034e+04 
       4.637230293506e-03       1.421578256125e+04 
       4.760864919666e-03       1.448585127187e+04 
       4.884784774337e-03       1.475146562082e+04 
       5.008970855362e-03       1.501305738282e+04 
       5.133405788628e-03       1.527126834300e+04 
       5.258073667611e-03       1.552435693431e+04 
       5.382959910428e-03       1.577398127601e+04 
       5.508051132378e-03       1.601773780523e+04 
       5.633335032191e-03       1.625985846608e+04 
       5.758800290410e-03       1.649369060332e+04 
       5.884436478516e-03       1.672798435697e+04 
       6.010233977566e-03       1.695499730133e+04 
       6.136183905261e-03       1.718135469267e+04 
       6.262278050501e-03       1.740229453094e+04 
       6.388508814575e-03       1.761852880061e+04 
       6.514869158257e-03       1.783004398350e+04 
       6.641352554151e-03       1.803897849204e+04 
       6.767952943715e-03       1.824450652364e+04 
       6.894664698449e-03       1.844355013006e+04 
       7.021482584811e-03       1.864097253353e+04 
       7.148401732451e-03       1.883437439350e+04 
       7.275417605429e-03       1.902317565432e+04 
       7.402525976089e-03       1.920947292093e+04 
       7.529722901334e-03       1.939033238075e+04 
       7.657004701036e-03       1.956832434911e+04 
       7.784367938388e-03       1.974303925199e+04 
       7.911809401985e-03       1.991415278197e+04 
       8.039326089471e-03       2.008216637587e+04 
       8.166915192604e-03       2.024492223454e+04 
       8.294574083594e-03       2.040522264071e+04 
       8.422300302594e-03       2.056250945610e+04 
       8.550091546238e-03       2.071331269322e+04 
       8.677945657129e-03       2.086481199192e+04 
       8.805860614181e-03       2.101019226471e+04 
       8.933834523747e-03       2.115345157364e+04 
       9.061865611460e-03       2.129234097873e+04 
       9.189952214712e-03       2.143162467847e+04 
       9.318092775735e-03       2.156237924783e+04 
       9.446285835213e-03       2.169441114824e+04 
       9.574530026389e-03       2.182221907991e+04 
       9.702824069616e-03       2.194452555122e+04 
       9.831166767333e-03       2.206705313728e+04 
       9.959556999406e-03       2.218503043992e+04 
       1.008799371882e-02       2.229987075478e+04 
       1.021647594769e-02       2.241225136315e+04 
       1.034500277356e-02       2.251906798181e+04 
       1.047357334599e-02       2.262676609900e+04 
       1.060218687336e-02       2.273001920665e+04 
       1.073084261992e-02       2.283133143064e+04 
       1.085953990304e-02       2.292845711832e+04 
       1.098827809070e-02       2.302078361148e+04 
       1.111705659909e-02       2.311465515696e+04 
       1.124587489042e-02       2.320492985999e+04 
       1.137473247087e-02       2.329090349881e+04 
       1.150362888870e-02       2.337563158910e+04 
       1.163256373250e-02       2.345693198795e+04 
       1.176153662948e-02       2.353356854937e+04 
       1.189054724402e-02       2.361101356532e+04 
       1.201959527618e-02       2.368418746316e+04 
       1.214868046044e-02       2.375586629416e+04 
       1.227780256440e-02       2.382542305090e+04 
       1.240696138771e-02       2.389185615185e+04 
       1.253615676094e-02       2.395471051546e+04 
       1.266538854464e-02       2.401681457294e+04 
       1.279465662842e-02       2.407567585434e+04 
       1.292396093007e-02       2.413344781355e+04 
       1.305330139481e-02       2.418811040616e+04 
       1.318267799454e-02       2.423772015968e+04 
       1.331209072720e-02       2.428949837648e+04 
       1.344153961609e-02       2.433685792354e+04 
       1.357102470937e-02       2.438260175498e+04 
       1.370054607949e-02       2.442616438624e+04 
       1.383010382273e-02       2.446704815732e+04 
       1.395969805873e-02       2.450645891649e+04 
       1.408932893015e-02       2.454293958244e+04 
       1.421899660225e-02       2.457949368611e+04 
       1.434870126259e-02       2.461135858068e+04 
       1.447844312073e-02       2.464405713983e+04 
       1.460822240797e-02       2.467325038979e+04 
       1.473803937712e-02       2.469998814723e+04 
       1.486789430231e-02       2.472543689190e+04 
       1.499778747881e-02       2.474777387002e+04 
       1.512771922284e-02       2.476730743243e+04 
       1.525768987154e-02       2.478858817746e+04 
       1.538769978280e-02       2.480452799302e+04 
       1.551774933521e-02       2.482072048891e+04 
       1.564783892802e-02       2.483717348502e+04 
       1.577796898109e-02       2.484822582509e+04 
       1.590813993493e-02       2.485820432417e+04 
       1.603835225067e-02       2.486606626635e+04 
       1.616860641012e-02       2.487542750563e+04 
       1.629890291581e-02       2.488129756380e+04 
       1.642924229109e-02       2.488415840652e+04 
       1.655962508020e-02       2.488720510161e+04 
       1.669005184840e-02       2.488788101481e+04 
       1.682052318210e-02       2.488628384123e+04 
       1.695103968899e-02       2.488306540102e+04 
       1.708160199823e-02       2.488035239830e+04 
       1.721221076062e-02       2.487282104193e+04 
       1.734286664882e-02       2.486708528409e+04 
       1.747357035753e-02       2.485805645626e+04 
       1.760432260378e-02       2.484955964353e+04 
       1.773512412711e-02       2.483759509085e+04 
       1.786597568992e-02       2.482326703831e+04 
       1.799687807769e-02       2.480955832932e+04 
       1.812783209933e-02       2.479385582360e+04 
       1.825883858744e-02       2.477784056487e+04 
       1.838989839871e-02       2.475703374677e+04 
       1.852101241423e-02       2.473794941123e+04 
       1.865218153987e-02       2.471802465502e+04 
       1.878340670668e-02       2.469507440902e+04 
       1.891468887126e-02       2.467278098974e+04 
       1.904602901620e-02       2.464675182784e+04 
       1.917742815053e-02       2.462229599159e+04 
       1.930888731016e-02       2.459533023080e+04 
       1.944040755834e-02       2.456649014442e+04 
       1.957198998617e-02       2.453829352516e+04 
       1.970363571311e-02       2.450563326874e+04 
